word|pinyin
后余|houyu
证码|zhengma
咨询|zixun
汇率|huilv
出现|chuxian
社保|shebao
过个|guoge
园|yuan
期时|qishi
关|guan
盗取|daoqu
我得告|wodegao
到付|daofu
成借贝|chengjiebei
版买|banmai
有信|youxin
买票|maipiao
汽油|qiyou
缴交|jiaojiao
钱到|qiandao
全部一次|quanbuyici
一项|yixiang
星能|xingneng
想关|xiangguan
一种|yizhong
看买|kanmai
钱后|qianhou
转成|zhuancheng
开个|kaige
个体户|getihu
啧啧|zeze
分几|fenji
升额|shenge
网上|wangshang
优惠卷|youhuijuan
今后|jinhou
封闭|fengbi
停|ting
民生银行|minshengyinhang
发校|faxiao
提亮|tiliang
一瓶|yiping
发现|faxian
如禾|ruhe
用酒|yongjiu
未能|weineng
上海银行|shanghaiyinhang
乐意|leyi
看支|kanzhi
没减|meijian
已交|yijiao
没太|meitai
只会用|zhihuiyong
三十天|sanshitian
我付|wofu
花超|huachao
三月|sanyue
查找|chazhao
加到|jiadao
圣诞|shengdan
安卓机|anzhuoji
朋友网|pengyouwang
开童|kaitong
答非所问|dafeisuowen
就要|jiuyao
只后|zhihou
poss|poss
书|shu
映象|yingxiang
借上|jieshang
急病|jibing
手上|shoushang
买过|maiguo
河南省|henansheng
hi|hi
内能|neineng
想变|xiangbian
以经|yijing
扫出|saochu
ill|ill
点下|dianxia
客给|kegei
还够|haigou
人理|renli
同天|tongtian
不够|bugou
夸|kua
评测|pingce
额|e
带长|daizhang
本号|benhao
用开|yongkai
能以|nengyi
机里|jili
大宝|dabao
二立|erli
时确|shique
我先|woxian
天双|tianshuang
跌|die
周四|zhousi
缺钱|queqian
没洗|meixi
有些|youxie
异地|yidi
干|gan
急|ji
付货|fuhuo
限|xian
还入|hairu
看个|kange
收税|shoushui
存货|cunhuo
一群|yiqun
大文出|dawenchu
帮换|banghuan
毛|mao
赌博|dubo
想来|xianglai
揍|zou
月期|yueqi
转号|zhuanhao
ok|ok
配额|peie
无故|wugu
一张|yizhang
再充|zaichong
正好|zhenghao
好几张|haojizhang
选填|xuantian
途中|tuzhong
钱关|qianguan
十几块|shijikuai
推举|tuiju
随意|suiyi
只先|zhixian
元天|yuantian
﻿|﻿
质量|zhiliang
删删|shanshan
帮付|bangfu
看才|kancai
錯|cuo
下降|xiajiang
没办|meiban
总欠|zongqian
存心|cunxin
用户|yonghu
用户名|yonghuming
定投|dingtou
相同|xiangtong
再贷|zaidai
怎事|zenshi
产不|chanbu
查借|chajie
自打|zida
冻结资金|dongjiezijin
病毒|bingdu
分欺|fenqi
千分之|qianfenzhi
提深|tishen
联系人|lianxiren
买错|maicuo
中去|zhongqu
有密|youmi
职消|zhixiao
卡错|kacuo
这期|zheqi
王|wang
贝贝能|beibeineng
换解|huanjie
这时候|zheshihou
已近|yijin
要大过|yaodaguo
尾号|weihao
先借|xianjie
车用|cheyong
七月|qiyue
多会交|duohuijiao
要菅业|yaojianye
还家|haijia
适用|shiyong
仟|qian
整改|zhenggai
发花|fahua
尾巴|weiba
支持|zhichi
如换|ruhuan
五是|wushi
读不起|dubuqi
主义|zhuyi
存里|cunli
刚要|gangyao
换点|huandian
代替|daiti
何情|heqing
帐号|zhanghao
真维斯|zhenweisi
付年费|funianfei
七八|qiba
滑动|huadong
一次性|yicixing
互用|huyong
开业|kaiye
失去|shiqu
通用|tongyong
提会|tihui
履行|lvxing
借用|jieyong
行到|xingdao
我|wo
升值|shengzhi
掏|tao
中钱|zhongqian
切|qie
提不上|tibushang
留下|liuxia
区分|qufen
这比用|zhebiyong
日收|rishou
拿来|nalai
卡着|kazhe
装|zhuang
从此以后|congciyihou
怎么样|zenmeyang
商|shang
扫一|saoyi
人人乐|renrenle
转变成|zhuanbiancheng
九毛|jiumao
个人账户|gerenzhanghu
变后|bianhou
煤|mei
dq|dq
找过|zhaoguo
旗下|qixia
慢|man
螺蛳|luosi
延期付款|yanqifukuan
大约|dayue
息钱|xiqian
折券|zhequan
颜色|yanse
